Model,Score
bunnycore/QandoraExp-7B-v2,402.0
bunnycore/Qwen-2.5-7B-Deep-Sky-T1,264.0
bunnycore/Qwen-2.5-7B-Deep-Stock-v1,426.0
bunnycore/Qwen-2.5-7B-Deep-Stock-v5,345.0
bunnycore/Qwen-2.5-7B-Exp-Sce,430.0
bunnycore/Qwen-2.5-7B-R1-Stock,473.0
bunnycore/Qwen-2.5-7b-S1k,474.0
bunnycore/Qwen2.5-7B-CyberRombos,479.0
bunnycore/Qwen2.5-7B-Fuse-Exp,352.0
bunnycore/Qwen2.5-7B-Instruct-Fusion,484.0
bunnycore/Qwen2.5-7B-Instruct-Merge-Stock-v0.1,484.0
bunnycore/Qwen2.5-7B-MixStock-Sce-V0.3,241.0
bunnycore/Qwen2.5-7B-MixStock-V0.1,431.0
bunnycore/Qwen2.5-7B-R1-Bespoke-Stock,405.0
bunnycore/Qwen2.5-7B-R1-Bespoke-Task,333.0
bunnycore/Qwen2.5-7B-RRP-1M,431.0
bunnycore/Qwen2.5-7B-RRP-1M-Thinker,235.0
bunnycore/Qwen2.5-7B-RRP-ID,480.0
bunnycore/Qwen2.5-7B-Sky-R1-Mini,158.0
bunnycore/QwenMosaic-7B,469.0
cloudyu/Mixtral_7Bx2_MoE,257.0
cognitivecomputations/dolphin-2.9.2-qwen2-7b,384.0
cognitivecomputations/dolphin-2.9.3-mistral-7B-32k,220.0
databricks/dolly-v2-7b,152.0
deepseek-ai/deepseek-llm-7b-base,148.0
deepseek-ai/deepseek-llm-7b-chat,170.0
djuna/Q2.5-Partron-7B,472.0
dreamgen/WizardLM-2-7B,218.0
dzakwan/dzakwan-MoE-4x7b-Beta,269.0
ehristoforu/Falcon3-MoE-2x7B-Insruct,438.0
ehristoforu/QwenQwen2.5-7B-IT,476.0
ehristoforu/QwenQwen2.5-7B-IT-Dare,476.0
ehristoforu/fq2.5-7b-it-normalize_false,491.0
ehristoforu/fq2.5-7b-it-normalize_true,491.0
ehristoforu/trd-7b-it,144.0
fblgit/UNA-TheBeagle-7b-v1,263.0
fblgit/juanako-7b-UNA,223.0
fblgit/una-cybertron-7b-v2-bf16,199.0
fhai50032/RolePlayLake-7B,266.0
flammenai/Mahou-1.2a-mistral-7B,274.0
formulae/mita-elite-sce-gen1.1-v1-7b-2-26-2025-exp,138.0
formulae/mita-elite-v1.1-7b-2-25-2025,153.0
formulae/mita-elite-v1.1-gen2-7b-2-25-2025,151.0
formulae/mita-elite-v1.2-7b-2-26-2025,145.0
formulae/mita-gen3-7b-2-26-2025,141.0
formulae/mita-gen3-v1.2-7b-2-26-2025,164.0
formulae/mita-v1.1-7b-2-24-2025,467.0
gmonsoon/StockSeaLLMs-7B-v1,381.0
google/gemma-1.1-7b-it,235.0
google/gemma-7b,238.0
google/gemma-7b-it,165.0
gupta-tanish/llama-7b-dpo-baseline,199.0
gz987/qwen2.5-7b-cabs-v0.1,487.0
gz987/qwen2.5-7b-cabs-v0.2,482.0
gz987/qwen2.5-7b-cabs-v0.3,487.0
gz987/qwen2.5-7b-cabs-v0.4,479.0
hon9kon9ize/CantoneseLLMChat-v1.0-7B,380.0
hotmailuser/FalconSlerp1-7B,440.0
hotmailuser/FalconSlerp2-7B,438.0
hotmailuser/FalconSlerp3-7B,442.0
hotmailuser/FalconSlerp4-7B,416.0
hotmailuser/FalconSlerp6-7B,423.0
hotmailuser/Qwen2.5-HomerSlerp-7B,477.0
hotmailuser/QwenSlerp-7B,482.0
hotmailuser/QwenSparse-7B,143.0
huggyllama/llama-7b,162.0
huihui-ai/Qwen2.5-7B-Instruct-abliterated,452.0
huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,456.0
ibivibiv/multimaster-7b-v6,265.0
ibm-granite/granite-7b-base,164.0
ibm-granite/granite-7b-instruct,189.0
ibm/merlinite-7b,245.0
icefog72/IceCocoaRP-7b,241.0
icefog72/IceCoffeeRP-7b,249.0
icefog72/IceDrinkNameNotFoundRP-7b-Model_Stock,270.0
icefog72/IceDrunkenCherryRP-7b,253.0
icefog72/IceEspressoRPv2-7b,262.0
icefog72/IceLemonTeaRP-32k-7b,235.0
icefog72/IceNalyvkaRP-7b,249.0
icefog72/IceSakeRP-7b,273.0
icefog72/IceSakeV4RP-7b,259.0
icefog72/IceSakeV6RP-7b,266.0
icefog72/IceSakeV8RP-7b,257.0
informatiker/Qwen2-7B-Instruct-abliterated,394.0
internlm/internlm2_5-7b-chat,362.0
irahulpandey/mistralai-7B-slerp-v0.1,239.0
jeffmeloy/Qwen-7B-nerd-uncensored-v1.0,456.0
jeffmeloy/Qwen2.5-7B-minperplexity-2,440.0
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v0.9,454.0
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.0,462.0
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.1,427.0
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.2,400.0
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.3,424.0
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.4,457.0
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.5,454.0
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.7,435.0
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.8,449.0
jeffmeloy/Qwen2.5-7B-olm-v1.0,480.0
jeffmeloy/Qwen2.5-7B-olm-v1.1,447.0
jeffmeloy/Qwen2.5-7B-olm-v1.2,453.0
jeffmeloy/Qwen2.5-7B-olm-v1.3,464.0
jeffmeloy/Qwen2.5-7B-olm-v1.4,477.0
jeffmeloy/Qwen2.5-7B-olm-v1.5,462.0
jeffmeloy/jeffmeloy_Qwen2.5-7B-minperplexity-1,434.0
jieliu/Storm-7B,253.0
jpacifico/Distilucie-7B-Math-Instruct-DPO-v0.1,162.0
jpacifico/Lucie-7B-Instruct-DPO-v1.1,165.0
jpacifico/Lucie-7B-Instruct-DPO-v1.1.3,166.0
jpacifico/Lucie-7B-Instruct-Merged-Model_Stock-v1.0,169.0
jpacifico/Lucie-Boosted-7B-Instruct,153.0
jsfs11/MixtureofMerges-MoE-4x7b-v4,263.0
jsfs11/MixtureofMerges-MoE-4x7b-v5,276.0
kaist-ai/janus-dpo-7b,240.0
kaist-ai/janus-rm-7b,138.0
kayfour/T3Q-Qwen2.5-7B-it-KOR-Safe,471.0
kms7530/chemeng_qwen-math-7b_24_1_100_1,371.0
kms7530/chemeng_qwen-math-7b_24_1_100_1_nonmath,349.0
laislemke/LLaMA-2-vicuna-7b-slerp,144.0
lkoenig/BBAI_7B_KoenQwenDyan,466.0
lkoenig/BBAI_7B_Qwen2.5koen,468.0
lkoenig/BBAI_7B_QwenDyanKoenLo,470.0
lkoenig/BBAI_7B_QwenDyancabsLAW,468.0
llmat/Mistral-v0.3-7B-ORPO,206.0
lmsys/vicuna-7b-v1.3,173.0
lmsys/vicuna-7b-v1.5,210.0
lordjia/Qwen2-Cantonese-7B-Instruct,399.0
macadeliccc/Samantha-Qwen-2-7B,372.0
marcuscedricridia/Hush-Qwen2.5-7B-MST,441.0
marcuscedricridia/Hush-Qwen2.5-7B-MST-v1.1,454.0
marcuscedricridia/Hush-Qwen2.5-7B-MST-v1.3,484.0
marcuscedricridia/Hush-Qwen2.5-7B-Preview,475.0
marcuscedricridia/Hush-Qwen2.5-7B-RP-v1.4-1M,441.0
marcuscedricridia/Hush-Qwen2.5-7B-v1.1,452.0
marcuscedricridia/Hush-Qwen2.5-7B-v1.2,441.0
marcuscedricridia/Hush-Qwen2.5-7B-v1.3,466.0
marcuscedricridia/Hush-Qwen2.5-7B-v1.4,443.0
marcuscedricridia/Qwen2.5-7B-Preview,454.0
marcuscedricridia/absolute-o1-7b,488.0
marcuscedricridia/cursa-o1-7b,485.0
marcuscedricridia/cursa-o1-7b-2-28-2025,485.0
marcuscedricridia/cursa-o1-7b-v1.1,479.0
marcuscedricridia/cursa-o1-7b-v1.2-normalize-false,486.0
marcuscedricridia/cursorr-o1.2-7b,153.0
marcuscedricridia/olmner-7b,465.0
marcuscedricridia/olmner-della-7b,475.0
marcuscedricridia/olmner-o1-7b,476.0
marcuscedricridia/olmner-sbr-7b,489.0
marcuscedricridia/sbr-o1-7b,478.0
meditsolutions/MSH-Lite-7B-v1-Bielik-v2.3-Instruct-Llama-Prune,211.0
meta-llama/Llama-2-7b-chat-hf,167.0
meta-llama/Llama-2-7b-hf,148.0
microsoft/Orca-2-7b,176.0
migtissera/Tess-3-7B-SFT,271.0
mistral-community/Mistral-7B-v0.2,229.0
mistralai/Mistral-7B-Instruct-v0.1,198.0
mistralai/Mistral-7B-Instruct-v0.2,226.0
mistralai/Mistral-7B-Instruct-v0.3,274.0
mistralai/Mistral-7B-v0.3,229.0
mistralai/Mixtral-8x7B-Instruct-v0.1,306.0
mistralai/Mixtral-8x7B-v0.1,318.0
mixtao/MixTAO-7Bx2-MoE-v8.1,269.0
mlabonne/NeuralBeagle14-7B,222.0
mobiuslabsgmbh/DeepSeek-R1-ReDistill-Qwen-7B-v1.1,265.0
mosaicml/mpt-7b,143.0
natong19/Qwen2-7B-Instruct-abliterated,383.0
nbeerbower/Dumpling-Qwen2.5-7B-1k-r16,397.0
nbeerbower/Dumpling-Qwen2.5-7B-1k-r64-2e-5,418.0
nbeerbower/Hermes2-Gutenberg2-Mistral-7B,238.0
nbeerbower/Mistral-Gutenberg-Doppel-7B-FFT,227.0
neopolita/jessi-v0.1-bf16-falcon3-7b-instruct,403.0
neopolita/jessi-v0.1-qwen2.5-7b-instruct,463.0
neopolita/jessi-v0.2-falcon3-7b-instruct,408.0
neopolita/jessi-v0.3-falcon3-7b-instruct,401.0
neopolita/jessi-v0.4-falcon3-7b-instruct,422.0
neopolita/jessi-v0.5-falcon3-7b-instruct,413.0
neopolita/jessi-v0.6-falcon3-7b-instruct,409.0
netcat420/DeepSeek-R1-Distill-Qwen-MFANN-Slerp-7b,161.0
netcat420/Qwen2.5-7B-nerd-uncensored-v0.9-MFANN,406.0
netcat420/Qwen2.5-7b-MFANN-slerp,365.0
netcat420/Qwen2.5-7b-nerd-uncensored-MFANN-slerp,152.0
netcat420/Qwen2.5-Coder-Scholar-7B-Abliterated-MFANN,330.0
netcat420/Qwen2.5-Coder-Scholar-7B-Abliterated-MFANN-Slerp-Unretrained,374.0
netcat420/Qwen2.5-MFANN-7b,356.0
netcat420/qwen2.5-MFANN-7b-SLERP-V1.2,383.0
netcat420/qwen2.5-MFANN-7b-SLERPv1.1,379.0
netcat420/qwen2.5-MFANN-7b-v1.1,358.0
newsbang/Homer-7B-v0.1,471.0
newsbang/Homer-7B-v0.2,470.0
newsbang/Homer-v0.4-Qwen2.5-7B,479.0
newsbang/Homer-v0.5-Qwen2.5-7B,466.0
newsbang/Homer-v1.0-Qwen2.5-7B,463.0
nguyentd/FinancialAdvice-Qwen2.5-7B,377.0
nhyha/merge_Qwen2.5-7B-Instruct_20241023_0314,463.0
nvidia/AceMath-7B-RM,149.0
occiglot/occiglot-7b-es-en-instruct,187.0
ontocord/ontocord_wide_7b-stacked-stage1,115.0
ontocord/ontocord_wide_7b-stacked-stage1-instruct,128.0
open-atlas/Atlas-Flash-7B-Preview,365.0
open-neo/Kyro-n1-7B,464.0
pankajmathur/orca_mini_v2_7b,143.0
pankajmathur/orca_mini_v3_7b,157.0
pankajmathur/orca_mini_v7_7b,440.0
princeton-nlp/Mistral-7B-Base-SFT-DPO,236.0
princeton-nlp/Mistral-7B-Base-SFT-RRHF,184.0
princeton-nlp/Mistral-7B-Base-SFT-SLiC-HF,236.0
princeton-nlp/Mistral-7B-Instruct-CPO,221.0
