Model_Name,Theta_ATLAS,Theta_WLE,SE,Num_Items,Time_Taken_Sec
DUAL-GPO/phi-2-dpo-renew1,-1.16972480220167,-0.894365732496946,0.148751556306958,30,11.6448917388916
DUAL-GPO/phi-2-gpo-renew2-b0.001-0.5ultrafeedback-i1,-1.26659852406077,-1.04628861589953,0.132809901051041,30,11.6160025596619
DUAL-GPO/phi-2-gpo-renew2-b0.001-0.5ultrafeedback-lowLr-i1,-1.21491922754815,-1.03519144304298,0.133186534239342,30,11.586357831955
DUAL-GPO/phi-2-gpo-renew2-b0.001-extra-i1,-1.22998207716012,-0.949622961647571,0.133455454900496,30,11.6675360202789
DUAL-GPO/phi-2-gpo-renew2-b0.001-log-i0,-1.1485965115516,-0.811042113689131,0.136785631530351,30,11.6380441188812
DUAL-GPO/phi-2-gpo-renew2-b0.001-v4-i1,-1.20295052579627,-1.0579980526228,0.133458939759587,30,11.6084442138672
DUAL-GPO/phi-2-gpo-renew2-b0.001-i0,-1.06868493277838,-0.784256720068123,0.132638441361981,30,11.6262986660004
DUAL-GPO/phi-2-gpo-renew2-b0.001-vllm-i1,-1.16928189403208,-1.02918662067572,0.133514555892487,30,11.6750009059906
DUAL-GPO/zephyr-7b-gpo-v5-i1,-0.0344914665593615,0.0342095418485225,0.105221790978566,30,11.6616880893707
DUAL-GPO/zephyr-7b-lgpo-v1-i1,0.290975038712318,0.0384469464259833,0.0788108436614231,30,11.6243805885315
dzakwan/dzakwan-MoE-4x7b-Beta,1.24836315126069,1.25568938301619,0.0626537318473672,30,11.6438717842102
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-n128-v3,-0.976603326504338,-0.966306462959752,0.130324895807851,30,11.6345331668854
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-v2,-1.00356022590195,-1.0111742814246,0.131095453930506,30,11.6405119895935
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-10fail-1000total,-1.02720969776647,-1.07148768974433,0.131791683354194,30,11.6599450111389
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-3000total-bf16,-0.992668014892085,-1.04399218102931,0.130785666213089,30,11.66339635849
Eang/Marcoro14-7B-slerp,0.50058987110858,0.538327088699407,0.064410607404196,30,11.6102759838104
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-2fail-128total,-1.01064025916011,-1.03088804332241,0.131908150367521,30,11.6844863891602
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-500total,-1.03293663731828,-1.03953403797478,0.133553487493192,30,11.6467514038086
Edgerunners/yi-9b-may-ortho-baukit-13fail-3000total-bf16,-0.9822709803117,-0.861162510271535,0.142441144177454,30,11.6182007789612
Edgerunners/yi-9b-may-ortho-baukit-30fail-3000total-bf16,-0.763200296780987,-1.11196677361427,0.148130173313183,30,11.6525733470917
eduagarcia/mistral-orpo-capybara-3k,0.125781224688188,0.0912854381250642,0.0905997940694517,30,11.6485176086426
eduagarcia/mistral-orpo-mix-7k,-0.386064705901904,-0.174512353896663,0.120799592400561,30,11.638329744339
eduagarcia/mistral-orpo-mix-21k,-0.413777612445942,-0.418324200201443,0.110386974590307,30,11.6658666133881
elinas/Llama-3-13B-Instruct,-1.33920710021884,-1.26058859032921,0.131913461265844,30,11.5882577896118
elinas/Llama-3-13B-Instruct-ft,-1.10018962977596,-1.24342651339794,0.134492945984555,30,11.6714515686035
elinas/Llama-3-15B-Instruct-ft-v2,-0.889565188073007,-0.954059950013509,0.133406498041371,30,11.6438472270966
elinas/Llama-3-15B-Instruct-zeroed,-0.930720360385215,-0.85439212015045,0.130021002293179,30,11.6783936023712
EmbeddedLLM/Medusa2-Mistral-7B-Instruct-v0.2,-0.49506866093468,-0.271891876216747,0.109104869894177,30,11.6135020256042
eswardivi/llamathon,-1.06483819791961,-1.01621483634425,0.134412533114158,30,11.6426503658295
eswardivi/llamathon_v1,-1.11559217834198,-1.02814559833426,0.142085219296993,30,11.6446895599365
eswardivi/llamathon_v2,-1.08968076812841,-1.1490187139881,0.133989762031567,30,11.6843495368958
Eurdem/Bombus_3x8B_v2,-1.10506007499251,-0.995649977032627,0.135679778456818,30,11.6366481781006
FairMind/Llama-3-8B-4bit-UltraChat-Ita,-0.998255671899943,-1.03994421293788,0.130577325572256,30,11.6313605308533
